央视,#genre#
卫视电影台,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
天映频道,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
天映经典,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
天映经典(第2声道),http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
HBO(第1声道粤语),http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
HBO(第2声道原声),http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
HBO Hits(第1声道粤语),http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
HBO Hits(第2声道原声),http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
TVB经典台,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
TVB星河(粤语),http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
TVB星河(普通话),http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
TVB功夫台(粤语),http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
TVB功夫(普通话),http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
TVBS亚洲台,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
TVBS新闻台,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
Hands Up Channel,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
Hands Up Channel(第2声道),http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
Channel V,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
星空卫视,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8


CCTV4K超高清,http://iptv.tvfix.org/hls/cctv4k.m3u8
CCTV1高清,http://iptv.tvfix.org/hls/cctv1hd.m3u8
CCTV1HK版高清,http://iptv.tvfix.org/hls/cctv1hdhk.m3u8
CCTV2高清,http://iptv.tvfix.org/hls/cctv2hd.m3u8
CCTV3高清,http://iptv.tvfix.org/hls/cctv3hd.m3u8
CCTV4高清,http://iptv.tvfix.org/hls/cctv4hd.m3u8
CCTV5高清,http://iptv.tvfix.org/hls/cctv5hd.m3u8
CCTV5+高清,http://iptv.tvfix.org/hls/cctv5phd.m3u8
CCTV6高清,http://iptv.tvfix.org/hls/cctv6hd.m3u8
CCTV7高清,http://iptv.tvfix.org/hls/cctv7hd.m3u8
CCTV8高清,http://iptv.tvfix.org/hls/cctv8hd.m3u8
CCTV9高清,http://iptv.tvfix.org/hls/cctv9hd.m3u8
CCTV10高清,http://iptv.tvfix.org/hls/cctv10hd.m3u8
CCTV11高清,http://iptv.tvfix.org/hls/cctv11hd.m3u8
CCTV12高清,http://iptv.tvfix.org/hls/cctv12hd.m3u8
CCTV13高清,http://iptv.tvfix.org/hls/cctv13hd.m3u8
CCTV14高清,http://iptv.tvfix.org/hls/cctv14hd.m3u8
CCTV15高清,http://iptv.tvfix.org/hls/cctv15hd.m3u8
CCTV16高清,http://iptv.tvfix.org/hls/cctv16hd.m3u8
CCTV17高清,http://iptv.tvfix.org/hls/cctv17hd.m3u8
CGTN高清,http://iptv.tvfix.org/hls/cgtnhd.m3u8
CGTN纪录高清,http://iptv.tvfix.org/hls/cgtndochd.m3u8
CGTN法语高清,http://iptv.tvfix.org/hls/cgtnfhd.m3u8
CGTN俄语高清,http://iptv.tvfix.org/hls/cgtnehd.m3u8
CGTN阿拉伯语高清,http://iptv.tvfix.org/hls/cgtnahd.m3u8
CGTN西班牙语高清,http://iptv.tvfix.org/hls/cgtnxhd.m3u8
北京卫视高清,http://iptv.tvfix.org/hls/brtv1hd.m3u8
湖南卫视高清,http://iptv.tvfix.org/hls/hunanhd.m3u8
浙江卫视高清,http://iptv.tvfix.org/hls/zjhd.m3u8
江苏卫视高清,http://iptv.tvfix.org/hls/jshd.m3u8
东方卫视高清,http://iptv.tvfix.org/hls/dfhd.m3u8
安徽卫视高清,http://iptv.tvfix.org/hls/ahhd.m3u8
