河北综合,#genre#
河北|任丘综合,https://jwcdnqx.hebyun.com.cn/live/rqtv1/1500k/tzwj_video.m3u8
河北|望都综合频道,https://jwliveqxzb.hebyun.com.cn/wddst/wddst.m3u8
河北|兴隆影视频道,https://jwcdnqx.hebyun.com.cn/live/xlys/1500k/tzwj_video.m3u8
河北|兴隆综合频道,https://jwcdnqx.hebyun.com.cn/live/xlzh/1500k/tzwj_video.m3u8

高清央视,#genre#

CCTV-1 综合,http://222.137.231.41:808/hls/1/index.m3u8
CCTV-1 综合,http://121.19.134.236:808/hls/1/index.m3u8
CCTV-2 财经,http://121.19.134.236:808/hls/2/index.m3u8
CCTV-3 综艺,http://222.137.231.41:808/hls/3/index.m3u8
CCTV-4 中文国际,http://121.19.134.236:808/hls/4/index.m3u8
CCTV-5 体育,http://222.137.231.41:808/hls/5/index.m3u8
CCTV-5+ 体育赛事,http://121.19.134.236:808/hls/17/index.m3u8
CCTV-6 电影,http://222.137.231.41:808/hls/6/index.m3u8
CCTV-7 国防军事,http://121.19.134.236:808/hls/7/index.m3u8
CCTV-8 电视剧,http://222.137.231.41:808/hls/8/index.m3u8
CCTV-9 记录,http://222.137.231.41:808/hls/9/index.m3u8
CCTV-9 记录,http://121.19.134.236:808/hls/9/index.m3u8
CCTV-10 科教,http://121.19.134.236:808/hls/10/index.m3u8
CCTV-11 戏曲,http://121.19.134.236:808/hls/11/index.m3u8
CCTV-12 社会与法,http://121.19.134.236:808/hls/12/index.m3u8
CCTV-13 新闻,http://121.19.134.236:808/hls/13/index.m3u8
CCTV-14 少儿,http://121.19.134.236:808/hls/14/index.m3u8
CCTV-15 音乐,http://121.19.134.236:808/hls/15/index.m3u8
CCTV-16 奥林匹克,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8
CCTV-17 农业农村,http://121.19.134.236:808/hls/16/index.m3u8

CCTV-1 综合,http://121.19.134.21:808/tsfile/live/0001_1.m3u8
CCTV-2 财经,http://121.19.134.21:808/tsfile/live/0002_1.m3u8
CCTV-3 综艺,http://121.19.134.21:808/tsfile/live/0003_1.m3u8
CCTV-4 中文国际,http://121.19.134.21:808/tsfile/live/0004_1.m3u8
CCTV-5 体育,http://121.19.134.21:808/tsfile/live/0005_1.m3u8
CCTV-5+ 体育赛视,http://121.19.134.21:808/tsfile/live/0018_1.m3u8
CCTV-6 电影,http://121.19.134.21:808/tsfile/live/0006_1.m3u8
CCTV-7 国防军事,http://121.19.134.21:808/tsfile/live/0007_1.m3u8
CCTV-8 电视剧,http://121.19.134.21:808/tsfile/live/0008_1.m3u8
CCTV-9 记录,http://121.19.134.21:808/tsfile/live/0009_1.m3u8
CCTV-10 科教,http://121.19.134.21:808/tsfile/live/0010_1.m3u8
CCTV-11 戏曲,http://121.19.134.21:808/tsfile/live/0011_1.m3u8
CCTV-12 社会与法,http://121.19.134.21:808/tsfile/live/0012_1.m3u8
CCTV-13 新闻,http://121.19.134.21:808/tsfile/live/0013_1.m3u8
CCTV-14 少儿,http://121.19.134.21:808/tsfile/live/0014_1.m3u8
CCTV-15 音乐,http://121.19.134.21:808/tsfile/live/0015_1.m3u8
CCTV-16 奥林匹克,http://121.19.134.21:808/tsfile/live/0016_1.m3u8
CCTV-17 农业农村,http://121.19.134.21:808/tsfile/live/0017_1.m3u8

CCTV-1 综合,http://121.19.134.181:808/tsfile/live/0001_1.m3u8
CCTV-2 财经,http://121.19.134.181:808/tsfile/live/0002_1.m3u8
CCTV-3 综艺,http://121.19.134.181:808/tsfile/live/0003_1.m3u8
CCTV-4 中文国际,http://121.19.134.181:808/tsfile/live/0004_1.m3u8
CCTV-5 体育,http://121.19.134.181:808/tsfile/live/0005_1.m3u8
CCTV-5+ 体育赛视,http://121.19.134.181:808/tsfile/live/0018_1.m3u8
CCTV-6 电影,http://121.19.134.181:808/tsfile/live/0006_1.m3u8
CCTV-7 国防军事,http://121.19.134.181:808/tsfile/live/0007_1.m3u8
CCTV-8 电视剧,http://121.19.134.181:808/tsfile/live/0008_1.m3u8
CCTV-9 记录,http://121.19.134.181:808/tsfile/live/0009_1.m3u8
CCTV-10 科教,http://121.19.134.181:808/tsfile/live/0010_1.m3u8
CCTV-11 戏曲,http://121.19.134.181:808/tsfile/live/0011_1.m3u8
CCTV-12 社会与法,http://121.19.134.181:808/tsfile/live/0012_1.m3u8
CCTV-13 新闻,http://121.19.134.181:808/tsfile/live/0013_1.m3u8
CCTV-14 少儿,http://121.19.134.181:808/tsfile/live/0014_1.m3u8
CCTV-15 音乐,http://121.19.134.181:808/tsfile/live/0015_1.m3u8
CCTV-16 奥林匹克,http://121.19.134.181:808/tsfile/live/0016_1.m3u8
CCTV-17 农业农村,http://121.19.134.181:808/tsfile/live/0017_1.m3u8

CCTV-1 综合,http://121.19.134.34:808/tsfile/live/0001_1.m3u8
CCTV-2 财经,http://121.19.134.34:808/tsfile/live/0002_1.m3u8
CCTV-3 综艺,http://121.19.134.34:808/tsfile/live/0003_1.m3u8
CCTV-4 中文国际,http://121.19.134.34:808/tsfile/live/0004_1.m3u8
CCTV-5 体育,http://121.19.134.34:808/tsfile/live/0005_1.m3u8
CCTV-6 电影,http://121.19.134.34:808/tsfile/live/0006_1.m3u8
CCTV-7 国防军事,http://121.19.134.34:808/tsfile/live/0007_1.m3u8
CCTV-8 电视剧,http://121.19.134.34:808/tsfile/live/0008_1.m3u8
CCTV-9 记录,http://121.19.134.34:808/tsfile/live/0009_1.m3u8
CCTV-10 科教,http://121.19.134.34:808/tsfile/live/0010_1.m3u8
CCTV-11 戏曲,http://121.19.134.34:808/tsfile/live/0011_1.m3u8
CCTV-12 社会与法,http://121.19.134.34:808/tsfile/live/0012_1.m3u8
CCTV-13 新闻,http://121.19.134.34:808/tsfile/live/0013_1.m3u8
CCTV-14 少儿,http://121.19.134.34:808/tsfile/live/0014_1.m3u8
CCTV-15 音乐,http://121.19.134.34:808/tsfile/live/0015_1.m3u8
CCTV-16 奥林匹克,http://121.19.134.34:808/tsfile/live/0016_1.m3u8
CCTV-17 农业农村,http://121.19.134.34:808/tsfile/live/0017_1.m3u8
CCTV-5+ 体育赛视,http://121.19.134.34:808/tsfile/live/0018_1.m3u8

CCTV-1 综合,http://zdwty.eatuo.com:808/tsfile/live/0001_1.m3u8
CCTV-2 财经,http://zdwty.eatuo.com:808/tsfile/live/0002_1.m3u8
CCTV-3 综艺,http://zdwty.eatuo.com:808/tsfile/live/0003_1.m3u8
CCTV-4 中文国际,http://zdwty.eatuo.com:808/tsfile/live/0004_1.m3u8
CCTV-5 体育,http://zdwty.eatuo.com:808/tsfile/live/0005_1.m3u8
CCTV-5+ 体育赛视,http://zdwty.eatuo.com:808/tsfile/live/0018_1.m3u8
CCTV-6 电影,http://zdwty.eatuo.com:808/tsfile/live/0006_1.m3u8
CCTV-7 国防军事,http://zdwty.eatuo.com:808/tsfile/live/0007_1.m3u8
CCTV-8 电视剧,http://zdwty.eatuo.com:808/tsfile/live/0008_1.m3u8
CCTV-9 记录,http://zdwty.eatuo.com:808/tsfile/live/0009_1.m3u8
CCTV-10 科教,http://zdwty.eatuo.com:808/tsfile/live/0010_1.m3u8
CCTV-11 戏曲,http://zdwty.eatuo.com:808/tsfile/live/0011_1.m3u8
CCTV-12 社会与法,http://zdwty.eatuo.com:808/tsfile/live/0012_1.m3u8
CCTV-13 新闻,http://zdwty.eatuo.com:808/tsfile/live/0013_1.m3u8
CCTV-14 少儿,http://zdwty.eatuo.com:808/tsfile/live/0014_1.m3u8
CCTV-15 音乐,http://zdwty.eatuo.com:808/tsfile/live/0015_1.m3u8
CCTV-16 奥林匹克,http://zdwty.eatuo.com:808/tsfile/live/0016_1.m3u8
CCTV-17 农业农村,http://zdwty.eatuo.com:808/tsfile/live/0017_1.m3u8

CCTV-1 综合,http://121.19.134.245:808/tsfile/live/0001_1.m3u8
CCTV-2 财经,http://121.19.134.245:808/tsfile/live/0002_1.m3u8
CCTV-3 综艺,http://121.19.134.245:808/tsfile/live/0003_1.m3u8
CCTV-4 中文国际,http://121.19.134.245:808/tsfile/live/0004_1.m3u8
CCTV-5 体育,http://121.19.134.245:808/tsfile/live/0005_1.m3u8
CCTV-5+ 体育赛视,http://121.19.134.245:808/tsfile/live/0018_1.m3u8
CCTV-6 电影,http://121.19.134.245:808/tsfile/live/0006_1.m3u8
CCTV-7 国防军事,http://121.19.134.245:808/tsfile/live/0007_1.m3u8
CCTV-8 电视剧,http://121.19.134.245:808/tsfile/live/0008_1.m3u8
CCTV-9 记录,http://121.19.134.245:808/tsfile/live/0009_1.m3u8
CCTV-10 科教,http://121.19.134.245:808/tsfile/live/0010_1.m3u8
CCTV-11 戏曲,http://121.19.134.245:808/tsfile/live/0011_1.m3u8
CCTV-12 社会与法,http://121.19.134.245:808/tsfile/live/0012_1.m3u8
CCTV-13 新闻,http://121.19.134.245:808/tsfile/live/0013_1.m3u8
CCTV-14 少儿,http://121.19.134.245:808/tsfile/live/0014_1.m3u8
CCTV-15 音乐,http://121.19.134.245:808/tsfile/live/0015_1.m3u8
CCTV-16 奥林匹克,http://121.19.134.245:808/tsfile/live/0016_1.m3u8
CCTV-17 农业农村,http://121.19.134.245:808/tsfile/live/0017_1.m3u8


CCTV-1 综合,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226231/index.m3u8
CCTV-2 财经,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8
CCTV-3 综艺,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226397/index.m3u8
CCTV-4 中文国际,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8
CCTV-5 体育,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8
CCTV-5+ 体育赛事,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226221/index.m3u8
CCTV-6 电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226393/index.m3u8
CCTV-7 国防军事,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226192/index.m3u8
CCTV-8 电视剧,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226391/index.m3u8
CCTV-9 纪录,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8
CCTV-10 科教,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8
CCTV-11 戏曲,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226240/index.m3u8
CCTV-12 社会与法,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226190/index.m3u8
CCTV-13 新闻,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8
CCTV-14 少儿,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226193/index.m3u8
CCTV-15 音乐,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8

CCTV-17 农业农村,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226198/index.m3u8
CETV1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225753/index.m3u8
CETV2,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225756/index.m3u8
CETV3,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226226/index.m3u8
CETV4,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226225/index.m3u8

CCTV-1 综合,http://www.biaozhun114.com/dl/dl666/gzyd.php?5726
CCTV-1 综合,http://www.biaozhun114.com/dl/dl666/gzyd.php?5777
CCTV-1 综合,http://www.biaozhun114.com/dl/dl666/gzyd.php?6290
CCTV-1 综合,http://www.biaozhun114.com/dl/dl666/gzyd.php?6030
CCTV-1 综合,http://www.biaozhun114.com/dl/dl666/gzyd.php?6127
CCTV-2 财经,http://www.biaozhun114.com/dl/dl666/gzyd.php?5706
CCTV-2 财经,http://www.biaozhun114.com/dl/dl666/gzyd.php?6282
CCTV-3 综艺,http://www.biaozhun114.com/dl/dl666/gzyd.php?6040
CCTV-3 综艺,http://www.biaozhun114.com/dl/dl666/gzyd.php?6008
CCTV-3 综艺,http://www.biaozhun114.com/dl/dl666/gzyd.php?6263
CCTV-4 中文国际,http://www.biaozhun114.com/dl/dl666/gzyd.php?5744
CCTV-4 中文国际,http://www.biaozhun114.com/dl/dl666/gzyd.php?5674
CCTV-4 中文国际,http://www.biaozhun114.com/dl/dl666/gzyd.php?6129
CCTV-4 中文国际欧洲,http://www.biaozhun114.com/dl/dl666/gzyd.php?6266
CCTV-4 中文国际欧洲,http://www.biaozhun114.com/dl/dl666/gzyd.php?6269
CCTV-4 中文国际欧洲,http://www.biaozhun114.com/dl/dl666/gzyd.php?6268
CCTV-4 中文国际美洲,http://www.biaozhun114.com/dl/dl666/gzyd.php?6300
CCTV-5 体育,http://www.biaozhun114.com/dl/dl666/gzyd.php?6043
CCTV-5 体育,http://www.biaozhun114.com/dl/dl666/gzyd.php?6259
CCTV-5 体育,http://www.biaozhun114.com/dl/dl666/gzyd.php?6024
CCTV-5 体育,http://www.biaozhun114.com/dl/dl666/gzyd.php?6248
CCTV-5+ 体育赛事,http://www.biaozhun114.com/dl/dl666/gzyd.php?6285
CCTV-5+ 体育赛事,http://www.biaozhun114.com/dl/dl666/gzyd.php?6171
CCTV-5+ 体育赛事,http://www.biaozhun114.com/dl/dl666/gzyd.php?6128
CCTV-6 电影,http://www.biaozhun114.com/dl/dl666/gzyd.php?6011
CCTV-6 电影,http://www.biaozhun114.com/dl/dl666/gzyd.php?6046
CCTV-6 电影,http://www.biaozhun114.com/dl/dl666/gzyd.php?6250
CCTV-7 国防军事,http://www.biaozhun114.com/dl/dl666/gzyd.php?6027
CCTV-7 国防军事,http://www.biaozhun114.com/dl/dl666/gzyd.php?6235
CCTV-7 国防军事,http://www.biaozhun114.com/dl/dl666/gzyd.php?5745
CCTV-8 电视剧,http://www.biaozhun114.com/dl/dl666/gzyd.php?6005
CCTV-8 电视剧,http://www.biaozhun114.com/dl/dl666/gzyd.php?6060
CCTV-8 电视剧,http://www.biaozhun114.com/dl/dl666/gzyd.php?6244
CCTV-9 纪录,http://www.biaozhun114.com/dl/dl666/gzyd.php?6279
CCTV-9 纪录,http://www.biaozhun114.com/dl/dl666/gzyd.php?6031
CCTV-9 纪录,http://www.biaozhun114.com/dl/dl666/gzyd.php?6291
CCTV-10 科教,http://www.biaozhun114.com/dl/dl666/gzyd.php?5685
CCTV-10 科教,http://www.biaozhun114.com/dl/dl666/gzyd.php?6254
CCTV-11 戏曲,http://www.biaozhun114.com/dl/dl666/gzyd.php?6273
CCTV-11 戏曲,http://www.biaozhun114.com/dl/dl666/gzyd.php?5746
CCTV-12 社会与法,http://www.biaozhun114.com/dl/dl666/gzyd.php?5747
CCTV-12 社会与法,http://www.biaozhun114.com/dl/dl666/gzyd.php?6251
CCTV-13 新闻,http://www.biaozhun114.com/dl/dl666/gzyd.php?6303
CCTV-13 新闻,http://www.biaozhun114.com/dl/dl666/gzyd.php?6245
CCTV-13 新闻,http://www.biaozhun114.com/dl/dl666/gzyd.php?6256
CCTV-13 新闻,http://www.biaozhun114.com/dl/dl666/gzyd.php?5718
CCTV-14 少儿,http://www.biaozhun114.com/dl/dl666/gzyd.php?5727
CCTV-14 少儿,http://www.biaozhun114.com/dl/dl666/gzyd.php?6288
CCTV-15 音乐,http://www.biaozhun114.com/dl/dl666/gzyd.php?6247
CCTV-15 音乐,http://www.biaozhun114.com/dl/dl666/gzyd.php?5749
CCTV-17 农业农村,http://www.biaozhun114.com/dl/dl666/gzyd.php?6168

CCTV-1 综合,http://www.biaozhun114.com/dl/dl666/gsyd.php?6247
CCTV-2 财经,http://www.biaozhun114.com/dl/dl666/gsyd.php?6220
CCTV-3 综艺,http://www.biaozhun114.com/dl/dl666/gsyd.php?6490
CCTV-4 中文国际,http://www.biaozhun114.com/dl/dl666/gsyd.php?6539
CCTV-5 体育,http://www.biaozhun114.com/dl/dl666/gsyd.php?6587
CCTV-5+ 体育赛事,http://www.biaozhun114.com/dl/dl666/gsyd.php?6253
CCTV-6 电影,http://www.biaozhun114.com/dl/dl666/gsyd.php?6492
CCTV-7 国防军事,http://www.biaozhun114.com/dl/dl666/gsyd.php?6432
CCTV-8 电视剧,http://www.biaozhun114.com/dl/dl666/gsyd.php?6589
CCTV-9 纪录,http://www.biaozhun114.com/dl/dl666/gsyd.php?6434
CCTV-10 科教,http://www.biaozhun114.com/dl/dl666/gsyd.php?6164
CCTV-11 戏曲,http://www.biaozhun114.com/dl/dl666/gsyd.php?6541
CCTV-12 社会与法,http://[2409:8087:74F1:0021::0008]:80/270000001322/69900158041111100000002147/1.m3u8
CCTV-13 新闻,http://www.biaozhun114.com/dl/dl666/gsyd.php?6438
CCTV-14 少儿,http://www.biaozhun114.com/dl/dl666/gsyd.php?6166
CCTV-15 音乐,http://www.biaozhun114.com/dl/dl666/gsyd.php?6616
CCTV-16 奥林匹克,http://www.biaozhun114.com/dl/dl666/gsyd.php?6413
CCTV-17 农业农村,http://www.biaozhun114.com/dl/dl666/gsyd.php?6407

CCTV-1 综合,http://39.134.66.66/PLTV/88888888/224/3221225816/index.m3u8
CCTV-1 综合,http://39.134.66.66/PLTV/88888888/224/3221225706/index.m3u8
CCTV-2 财经,http://39.134.66.66/PLTV/88888888/224/3221225599/index.m3u8
CCTV-3 综艺,http://39.134.66.66/PLTV/88888888/224/3221225799/index.m3u8
CCTV-4 中文国际,http://39.134.66.66/PLTV/88888888/224/3221225797/index.m3u8
CCTV-5 体育,http://39.134.66.66/PLTV/88888888/224/3221225818/index.m3u8
CCTV-5+ 体育赛事,http://39.134.66.66/PLTV/88888888/224/3221225507/index.m3u8
CCTV-6 电影,http://39.134.66.66/PLTV/88888888/224/3221225814/index.m3u8
CCTV-7 国防军事,http://39.134.66.66/PLTV/88888888/224/3221225671/index.m3u8
CCTV-8 电视剧,http://39.134.66.66/PLTV/88888888/224/3221225795/index.m3u8
CCTV-9 纪录,http://39.134.66.66/PLTV/88888888/224/3221225676/index.m3u8
CCTV-10 科教,http://39.134.66.66/PLTV/88888888/224/3221225677/index.m3u8
CCTV-11 戏曲,http://39.134.66.66/PLTV/88888888/224/3221225517/index.m3u8
CCTV-12 社会与法,http://39.134.66.66/PLTV/88888888/224/3221225669/index.m3u8
CCTV-13 新闻,http://39.134.66.66/PLTV/88888888/224/3221225812/index.m3u8
CCTV-14 少儿,http://39.134.66.66/PLTV/88888888/224/3221225674/index.m3u8
CCTV-15 音乐,http://39.134.66.66/PLTV/88888888/224/3221225513/index.m3u8
CCTV-17 农业农村,http://39.134.66.66/PLTV/88888888/224/3221225708/index.m3u8
CGTN,http://39.134.66.66/PLTV/88888888/224/3221225510/index.m3u8
CGTN纪录,http://39.134.66.66/PLTV/88888888/224/3221225509/index.m3u8

CCTV-1 综合,http://116.131.1.2:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2 财经,http://116.131.1.2:9901/tsfile/live/faacts/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3 综艺,http://116.131.1.2:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4 国际,http://116.131.1.2:9901/tsfile/live/faacts/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5 体育,http://116.131.1.2:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+ 体育赛事,http://116.131.1.2:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6 电影,http://116.131.1.2:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7 军事,http://116.131.1.2:9901/tsfile/live/faacts/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8 电视剧,http://116.131.1.2:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9 纪录,http://116.131.1.2:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10 科教,http://116.131.1.2:9901/tsfile/live/faacts/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-11 戏曲,http://116.131.1.2:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12 社会与法,http://116.131.1.2:9901/tsfile/live/faacts/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13 新闻,http://116.131.1.2:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14 少儿,http://116.131.1.2:9901/tsfile/live/faacts/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15 音乐,http://116.131.1.2:9901/tsfile/live/faacts/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-16 奥林匹克,http://1.180.245.195:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-17 农业农村,http://116.131.1.2:9901/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-1 综合,http://1.180.245.195:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2 财经,http://1.180.245.195:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3 综艺,http://1.180.245.195:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
